request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,11677.43,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,113.15,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Wait until 15 February 2026, then pay USD 199.89 in full. Paying sooner would put the USD 400 minimum at risk."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,39188.45,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 39,188.45 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5840.19,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,840.19 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,389.79,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1282.92,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,reduce_to:event_6331:24.80,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,524.72,affordable_with_plan,full_payment,2026-01-04:529.10,2026-01-15,stop:event_6405,"Stop the family streaming plan, then pay EUR 529.10 today. This leaves at least EUR 700 available."
request_70,49194.24,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,398511.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,67649.96,affordable_later,wait,2023-02-15:71400,2023-02-15,none,"Wait until 15 February 2023, then pay INR 71,400 in full. Paying sooner would put the INR 103,200 minimum at risk."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,10953.94,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 June 2026. None of the available options keeps the ZAR 39,000 minimum protected."
request_76,4455.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,59210.67,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Wait until 15 November 2025, then pay INR 60,700 in full. Paying sooner would put the INR 82,200 minimum at risk."
request_78,44499.22,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Wait until 15 October 2025, then pay INR 50,200 in full. Paying sooner would put the INR 55,200 minimum at risk."
request_79,277.02,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 277.02 is available today, the full amount cannot be completed safely within 90 days."
request_80,217500,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,320.48,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,10516.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,24631.67,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,400866.29,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,43602.95,affordable_with_plan,full_payment,2025-08-03:46300,2025-08-23,reduce_to:event_8084:2360,"Reduce the online retail purchases to INR 2,360, then pay INR 46,300 today. This leaves at least INR 84,900 available."
request_87,14129.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10393.63,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,8689863.61,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8403:203300|reduce_to:event_8337:266760|stop:event_8335,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,542.55,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,9047.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,74112.49,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1127.85,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,6915.77,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17958.35,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9188:525.80,"Reduce the family streaming plan to ZAR 525.80, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,24909.6,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,10323.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53289.37,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9721:1720,"Reduce the monthly entertainment spend to INR 1,720, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,419.13,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2470.05,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.50,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,41026.58,affordable_later,wait,2026-07-08:55308,2026-07-08,none,"Wait until 8 July 2026, then pay ZAR 55,308 in full. Paying sooner would put the ZAR 24,100 minimum at risk."
request_109,492.16,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10081,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,22552.24,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 15 September 2026, then pay INR 36,500 in full. Paying sooner would put the INR 82,300 minimum at risk."
request_114,59133.97,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Wait until 15 January 2026, then pay INR 65,300 in full. Paying sooner would put the INR 113,400 minimum at risk."
request_115,14164.53,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,8034.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,649.77,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,stop:event_10912,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,57211.18,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1333.53,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-15,reduce_to:event_11480:38|stop:event_11448,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,5836.28,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"Wait until 15 November 2025, then pay ZAR 6,468 in full. Paying sooner would put the ZAR 11,300 minimum at risk."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,9449.5,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23,980 in full. Paying sooner would put the ZAR 41,000 minimum at risk."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,79.79,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,426.09,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1122.02,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,reduce_to:event_12065:21.20,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,231.27,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Wait until 15 February 2026, then pay USD 379.86 in full. Paying sooner would put the USD 1,100 minimum at risk."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4464895.13,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,302.81,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12413:11.50,"Reduce the video streaming plan to USD 11.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,559.82,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,21400.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 71,800 minimum protected."
request_138,854.97,affordable_with_plan,partial_payment,2026-04-07:854.97|2026-04-15:401.97,2026-04-15,none,"Pay EUR 854.97 today and the remaining EUR 401.97 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1403.34,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,stop:event_12741,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,1296.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,17804.62,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 17,804.62 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,3148.28,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,219.42,affordable_later,wait,2026-07-15:233.34,2026-07-15,none,"Wait until 15 July 2026, then pay USD 233.34 in full. Paying sooner would put the USD 600 minimum at risk."
request_145,25011.46,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,stop:event_13342|reduce_to:event_13409:3335,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,11664.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,433.04,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7339.31,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13592,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,21473.65,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,reduce_to:event_13703:1013.76,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,292.77,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,10845.71,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13958|reduce_to:event_14024:234.30|stop:event_13957,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,8607.05,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4214212.78,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,557.3,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,5812003.15,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1920305.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,10257122.42,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,62712.79,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15134|reduce_to:event_15173:1875|stop:event_15135,"Stop the cloud storage plan, reduce the quick-service meal to INR 1,875 and stop the video streaming plan, then pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,29247.01,affordable_with_plan,partial_payment,2026-01-07:29247.01|2026-02-15:20132.99,2026-02-15,none,"Pay INR 29,247.01 today and the remaining INR 20,132.99 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30423529.9,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,33.34,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,8558.56,affordable_with_plan,partial_payment,2024-06-05:8558.56|2024-06-15:1641.44,2024-06-15,none,"Pay ZAR 8,558.56 today and the remaining ZAR 1,641.44 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,57692.68,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15864:1272,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1056.3,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,reduce_to:event_16013:12.50|reduce_to:event_15976:16.80,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,1239.7,affordable_now,full_payment,2025-02-03:1239.70,2025-02-03,none,"Pay EUR 1,239.70 today. This leaves at least EUR 600 available over the next 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
